Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean UMI Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000138073,PREB,0.049512614588665842,-1.192658497222892,0.011662331068350223,0.11002597317083818,1.1064290034949651,0.045895536888570274,0.12919620629355572,1.254800219866818,1.0,0.14753533942571589,1.5594049954328613,1.0
ENSG00000138074,SLC5A6,0.07696261335025778,0.88162092873566378,0.22011850714403333,0.044278745300459263,-0.73305179874348081,0.44647265327083518,0.016149525786694464,-1.1695460571045806,1.0,0.0,-1.0007932652949543,1.0
ENSG00000138085,ATRAID,0.31272475224654744,-0.23683683932372501,0.68647675684267273,0.37704022513421376,0.27435309870605029,0.69826963384900176,0.29069146416050035,-0.097291341713625856,1.0,0.29507067885143179,-0.011757133009590026,1.0
ENSG00000084774,CAD,0.012314018136041245,-0.69546872821420269,0.45370466115597413,0.018784922248679687,0.65235535296828129,0.6181719258477768,0.032299051573388929,1.821840812590712,1.0,0.0,1.3648562070217256,1.0
ENSG00000115194,SLC30A3,0.00051308408900171856,-0.63775323035791587,1.0,0.0,0.83292759861010168,1.0,0.0,4.6291957346483157,1.0,0.0,5.8022615193290239,1.0
ENSG00000138100,TRIM54,0.0010261681780034371,0.099212363808289794,1.0,0.0,0.095962004443896021,1.0,0.0,3.8922301404821082,1.0,0.0,5.0652959251628182,1.0
ENSG00000163794,UCN,0.0043612147565146074,-0.37471882452412242,1.0,0.0053671206424799108,0.56989319277630823,0.91156290191276645,0.0,1.7547266167321744,1.0,0.0,2.9277924014128835,1.0
ENSG00000115204,MPV17,0.046177568010154671,-0.45079029855906549,0.50130420960387523,0.052329426264179135,0.13990535203149346,0.99574624407674084,0.14534573208025017,1.7287314081992298,0.71354201926808636,0.14753533942571589,1.869948326840599,1.0
ENSG00000115207,GTF3C2,0.028989251028597098,-0.34402202730120646,0.69375675505921586,0.034886284176119421,0.29013455213288619,0.85594669819361424,0.032299051573388929,0.6493736165859465,1.0,0.073767669712857947,1.8224394012666552,1.0
ENSG00000234945,GTF3C2-AS1,0.0012827102225042965,-0.63775323035791587,1.0,0.0013417801606199777,0.83292759861010168,1.0,0.0,3.406803313311868,1.0,0.0,4.5798690979925762,1.0
ENSG00000234072,AC074117.10,0.12929719042843307,-0.471394843935796,0.42021233762411603,0.18516566216555694,0.52560391663151229,0.43110334779574144,0.12919620629355572,0.04869288211785916,1.0,0.11065150456928692,0.040710286884545255,1.0
ENSG00000115211,EIF2B4,0.055926165701187323,-0.47029648450635264,0.44951014678356799,0.08319036995843862,0.60726746343974369,0.4185564780410419,0.016149525786694464,-0.92539311702932192,1.0,0.036883834856428974,0.24767266765138718,1.0
ENSG00000115234,SNX17,0.20087242084417281,-0.74755723936265772,0.11505341764212493,0.31263477742445483,0.5878151007735708,0.32740111342049583,0.62983150568108415,1.5332713146497801,0.5748215989863753,0.33195451370786072,0.66475799557908966,1.0
ENSG00000163795,ZNF513,0.0079528033795266372,-1.2227157310790719,0.16969307879278081,0.014759581766819756,0.83292759861010257,0.54839389132041261,0.016149525786694464,1.6905962793124587,1.0,0.11065150456928692,3.9277924014128835,0.36422060062561712
ENSG00000115241,PPM1G,0.18163176750660837,-0.76430116926281055,0.10714713136165736,0.303242316300115,0.7130571261058618,0.21425274846673353,0.38758861888066715,0.97843117553141323,1.0,0.2581868439950028,0.48183701503205012,1.0
ENSG00000115216,NRBP1,0.1600822357685362,-0.51996585225077929,0.33211197438829704,0.241520428911596,0.60485303113010858,0.32308881973050163,0.16149525786694466,0.018953825478801534,1.0,0.036883834856428974,-1.2834322290682594,1.0
ENSG00000157992,KRTCAP3,0.011287849958037808,-0.19029425338669448,1.0,0.013417801606199778,0.38546862163888118,0.86143275856924106,0.0,0.43279852184481182,1.0,0.0,1.6058643065255209,1.0
ENSG00000138002,IFT172,0.0046177568010154673,-0.55975071835664281,0.80009940606179974,0.0053671206424799108,0.41789009933125865,0.95336154219391012,0.0,1.6291957346483157,1.0,0.036883834856428974,3.8636620639931678,1.0
ENSG00000115226,FNDC4,0.0015392522670051557,-0.41536080902146821,1.0,0.0013417801606199777,0.61053517727365403,1.0,0.0,3.2141582353694718,1.0,0.0,4.38722402005018,1.0
ENSG00000243943,ZNF512,0.031298129429104836,-0.40948424268479844,0.60541790141766705,0.038911624657979357,0.32478069493977735,0.79856383001919307,0.032299051573388929,0.52299633081639119,1.0,0.11065150456928692,2.1204374793552789,1.0
ENSG00000176714,CCDC121,0.0035915886230120301,0.68417486452944587,0.80205427854988831,0.0013417801606199777,-0.48900049627726005,1.0,0.0,2.2141582353694718,1.0,0.0,3.38722402005018,1.0
ENSG00000198522,GPN1,0.063622427036213097,-0.72214541764828866,0.19448119281042062,0.10465885252835827,0.71044359208510777,0.28318466252558672,0.096897154720166787,0.65519094318125992,1.0,0.11065150456928692,1.0078456529789186,1.0
ENSG00000119760,SUPT7L,0.070805604282237158,-0.063169875416758892,1.0,0.073797908834098772,0.080586778556980043,1.0,0.064598103146777858,0.15238203778278203,1.0,0.073767669712857947,0.57986909799257669,1.0
ENSG00000163798,SLC4A1AP,0.041046727120137488,-0.95788804342222766,0.086451321427522973,0.076481469155338738,0.86648015832112923,0.21065770184610336,0.080747628933472329,1.0047048697405221,1.0,0.14753533942571589,1.9082522150172387,1.0
ENSG00000205334,LINC01460,0.00076962613350257784,-0.22271573107907194,1.0,0.0,0.41789009933125776,1.0,0.0,4.2141582353694718,1.0,0.0,5.38722402005018,1.0
ENSG00000243147,MRPL33,0.35402802141118583,-0.23000997939928203,0.69735178473343407,0.42802787123777292,0.28038657558132374,0.68586413444798655,0.30684098994719483,-0.20200592936365624,1.0,0.29507067885143179,-0.1902048079855676,1.0
ENSG00000171174,RBKS,0.026167288539087646,-0.70614020533816557,0.36169636933941512,0.045620525461079246,0.84673339813513326,0.30392284689280313,0.016149525786694464,0.11612615240894453,1.0,0.0,0.27869956327201173,1.0
ENSG00000158019,BRE,0.082863080373777542,-0.526721917969172,0.38615891669508301,0.11539309381331808,0.46422881399812876,0.4984645893754906,0.11304668050686126,0.51371851722837958,1.0,0.22130300913857384,1.4906753686631218,1.0
ENSG00000223522,AC093690.1,0.00025654204450085928,-1.2227157310790719,1.0,0.0,1.4178900993312578,1.0,0.0,5.2141582353694718,1.0,0.0,6.38722402005018,1.0
ENSG00000229951,FLJ31356,0.00025654204450085928,-2.807678231800228,0.31465714375943638,0.0026835603212399554,3.0028526000524147,0.33992001394276844,0.0,4.2141582353694718,1.0,0.0,5.38722402005018,1.0
ENSG00000075426,FOSL2,0.089789715575300744,-0.87591296755268022,0.075052919335789434,0.16235539943501731,0.82899118405093253,0.16009594369277594,0.24224288680041697,1.3284618620300763,0.88084990142781605,0.036883834856428974,-0.54055394203216167,1.0
ENSG00000270210,RP11-373D23.3,0.0030785045340103114,-1.3296309349955839,0.43535386347132249,0.0080506809637198671,1.5248053032477715,0.45979366516064268,0.0,1.9662307219258857,1.0,0.0,3.1392965066065948,1.0
ENSG00000163803,PLB1,0.0023088784005077336,-1.9007876361917102,0.13544668456714151,0.0026835603212399554,0.095962004443896909,1.0,0.080747628933472329,5.2141582353694726,0.0021088496570745639,0.0,3.2997611787998409,1.0
ENSG00000226833,AC097724.3,0.00051308408900171856,-1.6377532303579159,0.72115596541987836,0.0,0.41789009933125776,1.0,0.0,4.2141582353694718,1.0,0.036883834856428974,6.8022615193290239,0.47671726772689138
ENSG00000213639,PPP1CB,0.29964110797700366,-0.092352448234970019,0.94413700310533699,0.29384985517577511,-0.048677700587667294,1.0,0.56523340253430621,0.93287212497945504,1.0,0.44260601827714768,0.61294379166479085,1.0
ENSG00000163806,SPDYA,0.0087224295130292149,-0.41536080902146821,0.87379311876279275,0.0053671206424799108,-0.58210990066874135,0.80183441411376477,0.064598103146777858,3.2141582353694718,0.27406682593222342,0.036883834856428974,2.960959265348083,1.0
ENSG00000273233,RP11-713D19.1,0.00076962613350257784,-1.2227157310790719,0.81471095920693071,0.0013417801606199777,1.4178900993312578,0.82638185242635565,0.0,3.8922301404821082,1.0,0.0,5.0652959251628182,1.0
ENSG00000171103,TRMT61B,0.052591119122676153,-0.23665492203694605,0.78211366990593856,0.061721887388518977,0.25137976230171111,0.81670572634718352,0.032299051573388929,-0.19523270076822996,1.0,0.11065150456928692,1.3985393332780145,1.0
ENSG00000163811,WDR43,0.09569018259882052,-0.18361591139013189,0.81690216927280079,0.11136775333145815,0.2365603346166969,0.80252360711971582,0.080747628933472329,-0.04322960732317993,1.0,0.073767669712857947,0.12043747935527982,1.0
ENSG00000189350,FAM179A,0.002565420445008593,-3.0852122073291381,0.00045163028500662627,0.022810262730539623,2.8873753826324791,0.0028061408905008791,0.032299051573388929,2.9917658140330241,0.87663256936561018,0.0,2.4803334244416622,1.0
