Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000235098,ANKRD65,0.00025614699852350841,-2.2353590718641723,0.60370422261129575,0.0,0.7850491308239782,1.0,0.016149525786694464,6.2141582353694718,0.47312450905459713
ENSG00000225285,RP4-758J18.10,0.0,-3.2353590718641723,0.4346394056928326,0.0013048374512534722,3.3700116315451343,0.45010688276184291,0.0,5.2141582353694718,1.0
ENSG00000215915,ATAD3C,0.0071721159586582359,-1.2842686723451182,0.1745301703195995,0.015658049415041668,1.1162550392993511,0.30144362935153857,0.032299051573388929,2.4415687314725449,1.0
ENSG00000160072,ATAD3B,0.018954877890739623,-1.1358233983132564,0.1050096991351637,0.04175479844011111,1.1476192102086866,0.13615218348618002,0.032299051573388929,1.0576537496894813,1.0
ENSG00000197785,ATAD3A,0.050204811710607651,-0.52019784801631364,0.4346394056928326,0.069156384916434027,0.45956321652342647,0.53913637917761403,0.096897154720166787,1.0557288727649889,1.0
ENSG00000205090,TMEM240,0.00025614699852350841,-1.2353590718641723,1.0,0.0,1.3700116315451343,1.0,0.0,5.2141582353694718,1.0
ENSG00000160075,SSU72,0.44979412940728081,-0.16726702955514694,0.80530386961354206,0.51541079324512151,0.2017067257709837,0.77569973946262638,0.37143909309397266,-0.27234162646599613,1.0
ENSG00000215014,RP5-832C2.5,0.023565523864162774,0.0558722258002744,1.0,0.022182236671309027,-0.014652218690190288,1.0,0.016149525786694464,0.43279852184481182,1.0
ENSG00000228594,C1orf233,0.0033299109808056096,1.5719958501934315,0.4346394056928326,0.0,-1.4373432905124695,0.58801653714453139,0.0,2.406803313311868,1.0
ENSG00000272106,RP11-345P4.9,0.034579844800673637,-0.054786826222350982,1.0,0.036535448635097223,0.1299605437121798,0.99285628415317373,0.016149525786694464,-0.14339376924861202,1.0
ENSG00000197530,MIB2,0.11910835431343142,-0.59034144767205277,0.28013880999596175,0.18659175552924653,0.66035338337466332,0.25245662186219547,0.080747628933472329,-0.45117768181570472,1.0
ENSG00000189409,MMP23B,0.0074282629571817442,-1.4983934776979648,0.094736908843067527,0.022182236671309027,1.6330460373789286,0.097191703093583062,0.0,0.65956938369183415,1.0
ENSG00000248333,CDK11B,0.12525588227799561,-0.6910385556403611,0.1811344913898871,0.20746915474930208,0.73193779436441542,0.19719489650480967,0.12919620629355572,0.042008568812645475,1.0
ENSG00000272004,RP11-345P4.10,0.0020491759881880673,-0.65039657114301619,0.94903858120142881,0.0026096749025069444,0.7850491308239782,0.95508421770350482,0.0,2.7547266167321736,1.0
ENSG00000189339,SLC35E2B,0.073001894579199908,-0.43303973970386567,0.49394959114916925,0.097862808844010413,0.42811458610870279,0.54377065536249647,0.096897154720166787,0.52565813053990462,1.0
ENSG00000269737,RP11-345P4.7,0.0025614699852350843,-0.36088995394803192,1.0,0.0026096749025069444,0.49554251362899393,1.0,0.0,2.5137185172283791,1.0
ENSG00000008128,CDK11A,0.20594218681290077,-0.6910385556403611,0.16488608434859719,0.34578192458217016,0.75463781792788409,0.15552312294613749,0.16149525786694466,-0.3898052272817405,1.0
ENSG00000215790,SLC35E2,0.0084528509512757782,-0.46982432550119491,0.78438379996151064,0.011743537061281251,0.60447688518215692,0.70027352532760723,0.0,0.78789348066737386,1.0
ENSG00000008130,NADK,0.028944610833156453,-1.1029087758405223,0.061284427834240339,0.058717685306406253,0.98668299199362863,0.14872562163598391,0.096897154720166787,1.7086302021427202,0.87915779016446982
ENSG00000078369,GNB1,0.095030536452221634,-0.9441277741997256,0.045415380109428617,0.16179984395543057,0.69555097998487536,0.23317068098097105,0.43603719624075055,2.0673168470402006,0.24623860317912644
