Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000260837,RP11-434B12.1,0.00075872131321612498,-1.2225658283120104,0.55808153061489918,0.0019036134037538456,0.75215703223895147,0.91626256119077165,0.0029279327133213537,1.6226075554338371,0.74469692203517668
ENSG00000134313,KIDINS220,0.079286377231085059,-0.51954756606914243,0.1449860818739889,0.13769470287152816,0.87648516724115355,0.0051949530779432963,0.05855865426642707,-0.75793269956857001,0.41469296734188882
ENSG00000143797,MBOAT2,0.0026555245962564373,-1.7461277843690235,0.014880590687278639,0.01332529382627692,2.3635917443212993,0.00056509107853714336,0.0014639663566606768,-1.2353734396937357,0.67709402823677911
ENSG00000151693,ASAP2,0.00151744262643225,-2.1485652468682339,0.0093169569484518652,0.011421680422523074,3.0000845456825376,7.4823042644492685e-05,0.0,-1.900954400623176,0.40908488981929092
ENSG00000119185,ITGB1BP1,0.21395941032694724,0.1513569042136127,0.75443051807504169,0.18845772697163071,-0.16412723148405917,0.78480595877906201,0.20202735721917339,-0.0099954309317533685,1.0
ENSG00000119203,CPSF3,0.052731131268520685,-0.48560023414580522,0.22245443632994646,0.075509998348902541,0.42638687105719564,0.30323491762979554,0.070270385119712481,0.220509111862492,1.0
ENSG00000134330,IAH1,0.22647831199501331,0.0099139998103985327,1.0,0.21447377682293328,-0.10573591045849806,0.92569670190577524,0.24887428063231506,0.17009535073633053,1.0
ENSG00000151694,ADAM17,0.06904363950266737,-1.0060740084152475,0.00076462164127756051,0.15736537471031792,1.0740851271263145,0.00033019448908299672,0.096621779539604671,-0.062847313197488486,1.0
ENSG00000239300,RP11-400L8.2,0.0018968032830403124,2.3623966724091456,0.20175655256400277,0.0,-1.5108773735948429,0.39831520725945424,0.0,0.037645054712680093,1.0
ENSG00000271855,RP11-214N9.1,0.0060697705057289999,0.057542090880724928,1.0,0.0044417646087589729,-0.44947682893069807,0.71756322836095621,0.0087837981399640601,0.84499997677028471,0.82125896474124327
ENSG00000134308,YWHAQ,0.58231860789337597,0.63107764138408096,0.030931826083741693,0.35153394189321019,-0.64798698743355432,0.046081804551596189,0.43187007521489967,-0.19722630590545798,1.0
ENSG00000243491,RP11-521D12.5,0.00037936065660806249,-0.22256582831201044,1.0,0.0,-0.51087737359484287,1.0,0.0014639663566606768,2.6226075554338362,0.74469692203517668
ENSG00000115750,TAF1B,0.038694786974022372,-0.09065415280643041,0.93918108483184704,0.038072268075076916,-0.082640376561139206,1.0,0.048310889769802336,0.36134224245309898,0.85998382380420435
ENSG00000269973,RP11-95D17.1,0.0053110491925128745,-0.56360274614707784,0.59817840094978936,0.0088835292175179457,0.7330482092912467,0.44691225454013911,0.0058558654266427073,0.086554655193626928,1.0
ENSG00000134317,GRHL1,0.00151744262643225,-0.48560023414580478,0.92233235599563279,0.0019036134037538456,0.26673020506870948,1.0,0.0029279327133213537,1.2075700561549931,0.85998382380420435
ENSG00000260077,RP11-254F7.2,0.017071229547362812,-1.0209319671423609,0.019113518733393599,0.038072268075076916,0.98245465166074641,0.026645850205912126,0.027815360776552861,0.21661519575800003,1.0
